AVERAGE_GENE_EXPRESSION	r1_C0	r1_C1	r1_C2	r1_C3	r1_C4	r1_C5	r1_C6	r1_C7	r1_C8	r1_C9	r1_C10	r1_C11
Tox2	0.0168459002790102	0	0	0	0	0	0	0.165455876069177	0.047730050790529	0	0	0
Jph2	0.146867306286528	0.018676976396294	0.0512919948793745	0.027714223039662	200.661302297608	0	0.0343656365691809	0.0350669760910009	0.0954601015810581	0	0	3.98046328939882
3230401D17Rik	0.382709910192672	0.468929157843634	0.556987000167067	0.815811490709037	0.0859140914229523	0.865960363308141	0.540168760808784	0.821849417412368	1.4101319231694	0	0.642259502680189	0.992243399882985
Gdap1l1	0.0336918005580205	0	0.0769379923190617	0	0	0	0	0	0.047730050790529	0	0	0
Fitm2	0.0168459002790102	0	0	0.055428446079324	0.548557048741072	0	0.0343656365691809	0	0.047730050790529	0	0.0660877626330402	0
Ttpal	0.168459002790102	0.0373539527925879	0.0769379923190617	0.213906184076884	0.143190152371587	0.209889119714687	0.333974941393698	0.0350669760910009	0.0954601015810581	0.0592510975330705	0.13217552526608	0
Serinc3	39.6650620669497	57.8850805394226	39.3499053409671	25106748.4067159	103.871300041323	495677393.045439	11.6865172321754	1319.43833263772	77587765.2952462	0.954377450533893	62.1902211855056	144438172.366481
0610039K10Rik	0.0168459002790102	0	0	0.027714223039662	0	0	0	0.0350669760910009	0	0	0	0
Pkig	0.96543333911422	0.710247550369816	2.23239348021885	20.3982499736711	45.5295915504212	9.1312544497798	1.95544252687164	0.907292336913716	5.50037965895639	0	1.98134187049025	510.920971304857
Ada	0.0168459002790102	0.018676976396294	0.0512919948793745	0	0.0286380304743174	0.156207438950822	0	0.105200928273003	0.272933882106909	0	0	0
Wisp2	705931983.118093	0	64354700219057.1	0	0	0	3.43307083022283	0	0	0	0	0
Ywhab	12.1063184624802	3.74840690798457	8.69883289700025	1162.15258953927	1.16245801201254	1172.35018584107	502.410283181329	14.9312941720284	291124.502053053	0.118502195066141	5.14310257276239	1231.96813842852
Pabpc1l	0	0.0694462619448984	0	0	0	0	0.0343656365691809	0	0.143190152371587	0	0	0.137462546276724
Tomm34	0.524831420254636	0.463667514203356	0.498470061781639	0.772482067188551	0.171828182845905	0.522303997616332	0.80541242906412	0.375857732615183	1.87067790724491	0	0.954080192195178	0.599218609649035
Stk4	0.146867306286528	0.018676976396294	0.153875984638123	0.530861660072005	0.11455212189727	1.6078286873207	0.0687312731383618	0.0701339521820018	0.334110355533703	0	1.0644979255955	0.324293517095588
Matn4	0.655493465155991	0	0	0	0	0	0.0343656365691809	0	0	0	0	0
Sdc4	600.08786158275	0.0747079055851759	6614.03330462917	1.1846792348615	0.11455212189727	3024.07790211148	5.0298542034297	0	0	0.0592510975330705	0.198263287899121	0.599218609649035
Sys1	1.19279224700784	1.43851493245468	2.18166059383742	2.94328687256657	0.597765256107948	4.48983715427459	3.02577290006244	1.13300316077907	22.3962447313126	0	2.40358029340555	0.942874975340844
Dbndd2	1.20927088974408	0.747601503162404	0.454403010408318	1.74193848291503	0.11455212189727	1.29789329410195	4.41400017833562	0.671702508662537	1.50559202475046	0	0.13217552526608	34.7527739629853
Pigt	0.411655914526128	0.269631358663855	0.480049007848005	1.61766593313941	0.315018335217492	0.69215033472439	1.78034908908156	1.56501945309714	1.96944611001949	0	0.377908452148028	0.137462546276724
Wfdc2	1.63234015711534	0	0	0.027714223039662	0	0	0	0.0350669760910009	0	0	0	0
Dnttip1	0.214250907402569	0.0933848819814698	0.447178066902265	0.332570676475944	0.0859140914229523	0.249931902321316	0.37802200226099	0.0701339521820018	0.898547787109847	0	0.443996214781069	0.137462546276724
Ube2c	0	0.207451488295518	0	0	0	7.34812864220353	0	0	0	5.97833873584829	0	0
