cluster	gene	p_val	p_val_adj	avg_logFC
6	Magohb	0.000109877289231685	1	0.934098118069463
6	Cacna2d1	0.00010987885166911	1	0.660556173815986
6	Anks3	0.00011352609050231	1	0.86147206937747
6	Gtf3a	0.000116395286724742	1	0.719348293009305
6	Kdm1a	0.000116494550847348	1	0.875975808346156
6	Dcbld2	0.000117685397375486	1	1.09404852337318
6	Faim	0.00011777271958468	1	0.833950859000192
6	Ift81	0.000123595476051621	1	0.791595365860448
6	Ttc28	0.000123658250411722	1	0.583096182769588
6	Fsd1l	0.000125370913145913	1	1.00850725455368
6	Leprel2	0.000126836210368522	1	0.577415193830106
6	Erh	0.000127327563314432	1	0.458974219967337
6	Fads1	0.000128485282288533	1	0.806645569588604
6	1110065P20Rik	0.000129054830927028	1	0.790164678298012
6	H47	0.000130128742923073	1	0.597425325834842
6	Pgrmc2	0.00013020811182682	1	0.670002725178704
6	Asah1	0.000131287956250906	1	0.497373538522497
6	Apex1	0.000133582049988661	1	0.924446588144102
6	Trim8	0.000133850639847991	1	0.640872042729268
6	Rab22a	0.000134100513060856	1	0.845793257709602
